marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
,Tênis Masculino Esportivo Caminhada Academia Corrida,78,90,69,90,4.5,(538),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,1
UNDER ARMOUR,Tênis Under Armour Spawn 3 Preto,,,349,90,4.7,(300),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,2
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,,,63,90,5.0,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,3
FILA,Tênis Fila Virtuous Unissex Esporte Caminhada Original,289,99,261,,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,4
NIKE,Tênis Nike Revolution 6 Flyease Next Nature Masculino,,,329,99,4.0,(7),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,5
MIZUNO,Tênis De Corrida Masculino Mizuno Atlantis,,,349,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,6
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,223,98,4.8,(7836),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,7
OLYMPIKUS,Olympikus Taurus Masculino Adultos,279,99,155,88,4.9,(130),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,8
,Tênis Masculino Confortável Versátil Para Caminhada Fitness,,,69,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,9
ADEX,Tênis Futsal Capoeira Corrida Vôlei Casual Solado Borracha,78,99,75,04,4.5,(62),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,10
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,,360,05,4.8,(138),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,11
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,,,78,90,4.6,(927),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,12
FILA,Fila Recovery Masculino Adultos,379,90,281,12,4.7,(1538),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,13
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,288,78,239,79,4.9,(8),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,14
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,,,199,,4.8,(3419),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,15
GENERIC,Tênis De Corrida Multicoloridos Onitsuka Tiger Mexico 66,,,266,40,4.9,(16),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,16
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,,,78,90,4.6,(951),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,17
NIKE,Tênis Nike Winflo 11 Masculino,,,699,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,18
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,229,99,166,88,4.8,(513),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,19
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,379,99,330,59,4.8,(93),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,20
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,70,99,4.5,(10894),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,21
MIZUNO,Mizuno Wave Creation 20 Masculino Adultos,380,90,114,27,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,22
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,,,53,,4.6,(710),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,23
,Tênis Masculino Sports Academia Advanced Solado Extraleve,219,90,147,33,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,24
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,221,07,4.6,(982),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,25
ACTVITTA,Tenis Masculino Actvitta Corrida Profissional 4931.100,,,179,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,26
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,73,37,4.4,(1249),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,27
UNDER ARMOUR,Kit 1 Tênis De Corrida Masculino Under Armour Charged Skylin,,,229,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,28
UNDER ARMOUR,Kit 1 Tênis De Corrida Masculino Under Armour Charged Quicke,,,399,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,29
,Kit 3 Tênis Masculino Macio Confortável Fitness Caminhada,,,199,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,30
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,,,78,90,4.1,(7878),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,31
OLYMPIKUS,Tênis Masculino Versa Com Sola Caixa Olympikus,259,99,216,99,4.8,(947),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,32
,Kit Tênis Ortopédico Masculino Asc Original Calce Fácil,230,,218,50,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,33
OLYMPIKUS,Tênis Olympikus Volcan 2 Original Dia A Dia Confortável,224,99,179,99,4.6,(9),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,34
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,70,11,4.5,(5508),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,35
NEW BALANCE,New Balance 997s Masculino Adultos,196,90,177,30,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,36
,Tênis Masculino Macio Confortável Fitness Caminhada Versátil,,,69,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,37
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,62,40,4.5,(616),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,38
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,279,99,212,79,4.7,(1023),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,39
NEW BALANCE,Tênis Masculino New Balance 997s - Couro Camurça Borracha,,,213,90,4.0,(6),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,40
OLYMPIKUS,Tênis Masculino E Feminino Reverso 2 Olympikus,379,99,279,99,4.7,(585),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,41
UNDER ARMOUR,Tênis De Corrida Masculino Under Armour *oferta*,399,99,269,99,4.8,(81),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,42
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,71,99,4.5,(1788),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,43
,Tênis Masculino Confortável Cadarço Academia Corrida,,,94,90,4.4,(5),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,44
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,,,144,90,4.4,(3642),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,45
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,,,52,90,4.6,(914),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,46
,Tênis Masculino Advanced Corrida Academia Profissional Leve,,,76,90,4.7,(23),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,47
ASCENSION,Tênis Lege 21 Masculino Esportivo Leve Confortável Oferta,,,124,90,4.3,(4),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,48
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,,,199,90,4.7,(209),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,49
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,182,99,4.8,(1896),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,50
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,,,309,85,4.6,(691),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,51
,Tenis Feminino Masculino Olimp Academia Leve Confortável,,,69,99,4.4,(1208),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,52
FILA,Tênis Fila Street Fit 2 Confortável - Adulto - Original,,,344,50,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,53
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Slight 3,,,359,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:20.059868-03:00,1,54
POLO BLU,Tênis Masculino Botinha Polo Blu Kit Carteira E Relogio !,,,99,90,4.4,(73),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,1
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1826),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,2
,Tênis Masculino Esportivo Caminhada Academia Corrida,78,90,69,90,4.5,(538),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,3
FILA,Tênis Fila Street Fit 2 Confortável - Adulto - Original,,,344,50,5.0,(1),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,4
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Slight 3,,,359,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,5
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Skyline 4,,,299,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,6
,Kit 2 Tenis Masculino Esportivo Adulto Caminhada Corrida To,,,156,70,4.6,(218),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,7
OLYMPIKUS,Tênis Olympikus Pride 3,,,299,99,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,8
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,246,94,178,60,4.8,(1993),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,9
,3 Pares Tênis Esportivo Tenis Masculino Leve E Macio Frete,,,169,90,4.3,(102),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,10
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,,,99,90,4.4,(317),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,11
